0, -82.5, -177.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
1, -82.5, -172.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
2, -82.5, -167.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
3, -82.5, -162.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current & Weddell Sea Gyre
4, -82.5, -157.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
5, -82.5, -62.5, Weddell Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
6, -82.5, -57.5, Weddell Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
7, -82.5, 167.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
8, -82.5, 172.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current & Weddell Sea Gyre
9, -82.5, 177.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
10, -77.5, -177.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
11, -77.5, -172.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
12, -77.5, -167.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current & Weddell Sea Gyre
13, -77.5, -162.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
14, -77.5, -72.5, Weddell Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
15, -77.5, -67.5, Weddell Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current & Weddell Sea Gyre
16, -77.5, -62.5, Weddell Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current & Weddell Sea Gyre
17, -77.5, -57.5, Weddell Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
18, -77.5, -52.5, Weddell Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current & Weddell Sea Gyre
19, -77.5, -47.5, Weddell Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
20, -77.5, -42.5, Weddell Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
21, -77.5, -37.5, Weddell Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
22, -77.5, 172.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
23, -77.5, 177.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
24, -72.5, -177.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
25, -72.5, -172.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
26, -72.5, -167.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
27, -72.5, -162.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
28, -72.5, -157.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
29, -72.5, -152.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
30, -72.5, -147.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
31, -72.5, -142.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
32, -72.5, -137.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
33, -72.5, -132.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
34, -72.5, -127.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
35, -72.5, -122.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
36, -72.5, -117.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
37, -72.5, -112.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
38, -72.5, -107.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
39, -72.5, -102.5, Amundsen Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
40, -72.5, -92.5, Bellingshausen Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
41, -72.5, -87.5, Bellingshausen Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
42, -72.5, -82.5, Bellingshausen Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
43, -72.5, -67.5, George VI Sound, Arctic: Within the Antarctic Circle, South Polar Gyre Current & Weddell Sea Gyre
44, -72.5, -57.5, Weddell Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
45, -72.5, -52.5, Weddell Sea, Arctic: Within the Antarctic Circle, Weddell Sea Gyre
46, -72.5, -47.5, Weddell Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
47, -72.5, -42.5, Weddell Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
48, -72.5, -37.5, Weddell Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
